"Ime Operacije","Vrednost","Enota"
"0 Omejitev Plina","6721975","plin"
"0 Cena Plina","6721975","plin"
"J. Nalozi ontologijo rdf-sparql/ontologija-dbpedia/TBox_DBpedia_ontology_type=parsed.xml v Jena bazo","1351","ms"
"J. Nalozi ontologijo rdf-sparql/ontologija-dbpedia/ABox_DBpedia_instance-types_lang=en_specific.ttl.gz v Jena bazo","185606","ms"
"1. Objava pogodbe","252","ms"
"Naslov pametne pogodbe","0x85b49c0395112da4f534359e43dd0a5a88ce835d","hex"
"2.0 Objava vhodne ontologije na IPFS","18","ms"
"2.0 Objava CID-a vhodne ontologije na ETH","81","ms"
"2.0 Objava CID-a vhodne ontologije na ETH","104938","gas"
"2.1 Objava vhodne ontologije na IPFS","410","ms"
"2.1 Objava CID-a vhodne ontologije na ETH","82","ms"
"2.1 Objava CID-a vhodne ontologije na ETH","89938","gas"
"2. Vhodna ontologije na verige blokov","597","ms"
"4.0 Izvedba SPARQL poizvedbe","129","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","448","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","77","ms"
"4.1 Izvedba SPARQL poizvedbe","994","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","397","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","67","ms"
"4.2 Izvedba SPARQL poizvedbe","931","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","432","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","73","ms"
"4.3 Izvedba SPARQL poizvedbe","977","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","336","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","133","ms"
"4.4 Izvedba SPARQL poizvedbe","926","ms"
"4.5 Izvedba SPARQL poizvedbe","3","ms"
"Skupni cas izvajanja programa","195023","ms"
